gene_id	control_rep1	control_rep2	control_rep3	treat1_rep1	treat1_rep2	treat1_rep3	treat2_rep1	treat2_rep2	treat2_rep3
ENSG00000185963:BICD2	0	0	0	0	0	0	0	0	0
ENSG00000157593:SLC35B2	8035	7678	7800	10898	7857	7761	8278	8742	7575
ENSG00000141905:NFIC	3194	3345	3106	5894	4334	4139	5701	5788	5930
ENSG00000138028:CGREF1	7	11	3	11	2	8	10	9	2
ENSG00000043093:DCUN1D1	3430	3359	3099	5049	3221	3262	3204	3034	2992
ENSG00000145391:SETD7	0	0	0	0	0	0	0	0	0
ENSG00000184343:SRPK3	0	1	0	0	0	0	0	1	0
ENSG00000174574:AKIRIN1	2194	2674	2400	2902	2193	2129	1119	1067	1123
ENSG00000115355:CCDC88A	2792	2767	2728	3365	2420	2216	2002	1994	1908
ENSG00000132383:RPA1	0	2	1	1	1	1	3	1	2
ENSG00000198189:HSD17B11	2249	2598	2442	3110	2396	2127	1214	1158	1157
ENSG00000165125:TRPV6	1	0	0	1	0	0	7	1	2
ENSG00000177614:PGBD5	2680	2796	2782	3583	2442	2733	2502	2644	2621
ENSG00000001630:CYP51A1	1	0	0	3	0	0	3	0	2
ENSG00000085491:SLC25A24	2934	2986	2752	3387	2581	2280	1997	2015	1854
ENSG00000214575:CPEB1	2594	3001	2746	3464	2652	2393	1342	1237	1315
ENSG00000130957:FBP2	1	0	0	1	0	0	3	1	2
ENSG00000130706:ADRM1	724	714	741	919	703	723	833	911	905
ENSG00000111261:MANSC1	1737	1955	1807	2652	1941	1953	2079	2040	2233
ENSG00000095564:BTAF1	9	8	6	12	6	5	41	29	34
ENSG00000108829:LRRC59	2	0	3	3	5	1	1	2	0
ENSG00000215115:CXorf49	2096	2281	2096	3185	2235	2418	3370	3335	3441
ENSG00000180957:PITPNB	1481	1750	1546	2273	1618	1630	2363	2344	2693
ENSG00000136698:CFC1	177	216	201	240	188	203	104	167	164
ENSG00000284484:AC025287.4	3830	3893	3863	5141	3666	4033	2317	2563	2879
ENSG00000111783:RFX4	8	7	6	17	12	7	4	7	1
ENSG00000128340:RAC2	86	101	87	97	75	80	133	164	189
ENSG00000154518:ATP5MC3	379	446	371	806	609	621	436	427	495
ENSG00000135241:PNPLA8	9219	10280	9287	14302	10130	10563	12883	13103	13839
ENSG00000064547:LPAR2	0	0	0	0	0	0	0	0	0
ENSG00000165164:CFAP47	1190	1157	1095	1389	984	1088	955	1129	1195
ENSG00000255150:EID3	12	14	24	17	11	20	32	62	42
ENSG00000170471:RALGAPB	291	279	225	557	369	385	183	169	234
ENSG00000157927:RADIL	7039	9674	7982	14104	13681	11381	2261	2097	2428
ENSG00000171631:P2RY6	2	1	1	5	3	1	0	1	2
ENSG00000177954:RPS27	2354	2244	1969	3300	2234	2147	2135	2178	2260
ENSG00000130347:RTN4IP1	165	153	138	188	93	86	170	131	104
ENSG00000179698:WDR97	1	1	0	2	4	1	1	0	1
ENSG00000197857:ZNF44	2319	2556	2411	3249	2175	2440	3062	3228	3067
ENSG00000188672:RHCE	5158	5321	5128	7388	5340	5364	4877	4853	4606
ENSG00000171291:ZNF439	65	92	96	115	79	91	63	41	61
ENSG00000101972:STAG2	75	85	93	104	102	79	67	86	64
ENSG00000186451:SPATA12	5047	5507	5334	7445	4830	5206	4218	4535	4678
ENSG00000060982:BCAT1	0	0	0	0	0	0	0	0	0
ENSG00000092140:G2E3	891	836	909	1298	1003	1081	769	799	899
ENSG00000196456:ZNF775	215	229	197	238	157	210	46	56	86
ENSG00000286137:SPDYE14	0	0	2	0	0	0	0	0	0
ENSG00000105393:BABAM1	1635	1863	1712	2557	1782	1773	1963	1880	1972
ENSG00000168582:CRYGA	1843	2020	1887	2540	1645	1841	2208	2272	2146
ENSG00000167397:VKORC1	2	0	0	1	0	0	4	1	3
ENSG00000147596:PRDM14	4448	4409	4284	6259	4113	4332	4209	4102	4240
ENSG00000119632:IFI27L2	13	20	22	31	9	10	23	23	9
ENSG00000109265:CRACD	671	760	693	753	529	515	787	832	693
ENSG00000186393:KRT26	3366	3410	3298	4764	3361	3565	5175	5097	5048
ENSG00000261732:AL031708.1	2398	2457	2231	3075	2183	2388	1978	2068	1935
ENSG00000071243:ING3	313	304	240	374	237	225	229	191	123
ENSG00000005194:CIAPIN1	2	2	4	0	0	0	0	0	1
ENSG00000185479:KRT6B	12	9	13	30	9	12	12	7	14
ENSG00000124440:HIF3A	1	1	0	8	6	2	2	0	2
ENSG00000090512:FETUB	0	0	0	1	0	0	1	0	2
ENSG00000105856:HBP1	13	19	23	20	26	17	46	63	45
ENSG00000115386:REG1A	3	1	4	3	1	3	2	9	8
ENSG00000134389:CFHR5	410	478	425	834	573	597	474	473	566
ENSG00000162897:FCAMR	27	32	27	40	24	28	37	43	38
ENSG00000110851:PRDM4	222	232	193	304	221	237	538	785	917
ENSG00000186204:CYP4F12	222	234	192	303	222	231	541	788	921
ENSG00000213424:KRT222	27	32	27	40	24	28	36	43	38
ENSG00000213516:RBMXL1	405	471	424	813	572	583	451	443	530
ENSG00000004864:SLC25A13	347	407	315	468	389	421	625	788	821
ENSG00000257743:MGAM2	20	39	17	18	17	25	18	29	25
ENSG00000168703:WFDC12	2	5	3	2	1	3	4	5	0
ENSG00000231213:PLSCR5	43	48	40	89	62	54	20	36	49
ENSG00000275793:RIMBP3	3997	4075	4016	5571	3778	3931	2536	2803	3043
ENSG00000138061:CYP1B1	3304	3772	3300	5418	3612	3718	4985	6061	6554
ENSG00000172031:EPHX4	198	206	205	200	135	134	110	110	169
ENSG00000224089:CT47A10	1997	2116	2034	2909	1934	1999	2153	2185	2216
ENSG00000105722:ERF	1011	1138	1016	1428	983	1061	1100	1143	1253
ENSG00000184497:TMEM255B	1478	1743	1552	2058	1564	1571	1712	1913	2253
ENSG00000164707:SLC13A4	9008	9771	8235	15408	10340	10185	10723	9274	9965
ENSG00000159399:HK2	1980	2161	1995	3161	2262	2277	1338	1380	1582
ENSG00000111057:KRT18	5648	6293	5911	8963	6287	6880	5405	5934	6405
ENSG00000067560:RHOA	133	160	155	247	189	171	58	62	83
ENSG00000080644:CHRNA3	414	461	458	653	441	446	135	148	193
ENSG00000159228:CBR1	3301	3746	3257	5531	3991	3959	3201	3627	4038
ENSG00000105610:KLF1	3282	3582	3408	5565	3925	4035	5133	5116	5973
ENSG00000214376:VSTM5	2673	2723	2679	3258	2257	2274	2933	3207	3103
ENSG00000111404:RERGL	2056	2246	2174	3279	2345	2576	1362	1487	1612
ENSG00000264813:AC113554.1	221	313	254	309	232	236	544	645	715
ENSG00000129757:CDKN1C	2025	2144	2287	2585	1841	1945	1196	1471	1723
ENSG00000188846:RPL14	19582	21583	20772	29588	21944	21804	33018	31949	32836
ENSG00000131507:NDFIP1	7381	8523	7375	14268	10054	10716	10697	10665	12288
ENSG00000176125:UFSP1	1488	1491	1475	2235	1503	1583	1320	1259	1381
ENSG00000198930:CSAG1	5	2	4	4	2	6	0	0	0
ENSG00000124767:GLO1	20	17	24	18	12	15	140	118	143
ENSG00000106341:PPP1R17	348	320	372	583	310	413	201	195	225
ENSG00000049860:HEXB	3417	3518	3486	5007	3493	3607	2235	2268	2428
ENSG00000112964:GHR	2	0	0	3	0	0	0	0	0
ENSG00000013275:PSMC4	3301	3563	3408	4742	3435	3630	2877	2816	3233
ENSG00000129450:SIGLEC9	5856	6365	6377	9025	6590	7042	7941	8297	9124
ENSG00000112893:MAN2A1	40	39	34	74	52	64	13	6	10
ENSG00000070748:CHAT	374	360	375	575	344	455	257	276	271
ENSG00000137700:SLC37A4	1335	1380	1293	2118	1515	1551	991	959	1003
ENSG00000115652:UXS1	60	52	39	86	36	75	35	24	31
ENSG00000105419:MEIS3	211	237	209	364	254	268	131	124	148
ENSG00000019505:SYT13	3521	3786	3594	5361	3710	3872	5357	5633	5830
ENSG00000236126:CT47A3	1930	2201	1905	3023	2184	2136	3631	3631	3894
ENSG00000102181:CD99L2	345	382	327	486	348	354	350	353	349
ENSG00000143013:LMO4	1697	1792	1772	2795	1811	1979	375	491	469
ENSG00000116199:FAM20B	0	0	0	0	0	0	1	0	0
ENSG00000134760:DSG1	1054	1324	1124	2072	1466	1632	1166	1377	1600
ENSG00000277117:FP565260.3	515	623	488	788	581	612	414	454	501
ENSG00000162069:BICDL2	47	56	50	105	44	74	32	52	71
ENSG00000170324:FRMPD2	3269	3499	3058	5256	3831	4014	2851	2997	3411
ENSG00000136696:IL36B	7304	7880	7834	11284	8075	8305	8188	8531	8709
ENSG00000054803:CBLN4	8521	9474	8387	13936	10237	10897	9756	10514	12282
ENSG00000131400:NAPSA	3221	3130	3338	5143	3606	4031	2195	2542	2655
ENSG00000136231:IGF2BP3	2270	2730	2514	3161	2410	2444	3107	3386	3779
ENSG00000134247:PTGFRN	2796	3100	3011	4158	2901	3066	2068	2140	2207
ENSG00000144031:ANKRD53	919	1044	888	1265	925	1068	380	427	488
ENSG00000118369:USP35	8336	9569	8670	13056	9245	10172	11213	12838	14838
ENSG00000030304:MUSK	6079	6096	5913	8543	5797	6454	5162	5403	5560
ENSG00000064655:EYA2	1773	1947	1925	2728	1824	2047	992	1058	1127
ENSG00000233932:CTXN2	1097	1183	1011	1690	1165	1169	1240	1464	1424
ENSG00000139163:ETNK1	3522	3572	3434	4779	3126	3423	3003	3141	3101
ENSG00000125831:CST11	39	21	30	29	14	25	13	17	26
ENSG00000276368:H2AC14	2	0	4	7	0	3	6	4	9
ENSG00000281613:AL365214.2	2406	2771	2409	3735	2656	2861	2896	3176	3644
ENSG00000169347:GP2	41	58	66	72	40	77	69	110	83
ENSG00000115289:PCGF1	485	548	568	800	533	488	236	253	288
ENSG00000188938:FAM120AOS	0	0	0	0	0	2	0	0	0
ENSG00000215910:C1orf167	1	5	8	7	7	6	2	2	3
ENSG00000254996:ANKHD1-EIF4EBP3	41	56	41	50	27	36	11	17	32
ENSG00000146376:ARHGAP18	1	5	1	0	1	4	0	4	3
ENSG00000171206:TRIM8	2099	2442	2166	3358	2325	2335	1834	1825	1949
ENSG00000101574:METTL4	2261	2860	2244	4115	3604	3161	4519	4901	5721
ENSG00000141519:CCDC40	4251	5479	4244	6740	5173	5016	8036	8882	10772
ENSG00000196358:NTNG2	0	0	0	0	0	0	0	0	0
ENSG00000173110:HSPA6	20	18	29	53	30	58	45	36	52
ENSG00000168958:MFF	0	0	0	0	0	0	0	1	2
ENSG00000065427:KARS1	6	8	2	11	21	11	30	21	23
ENSG00000007171:NOS2	22	11	25	61	62	27	197	207	166
ENSG00000078399:HOXA9	0	0	0	0	0	0	3	0	0
ENSG00000132600:PRMT7	0	1	0	0	1	0	0	0	0
ENSG00000162892:IL24	0	0	0	1	0	0	0	0	0
ENSG00000170807:LMOD2	0	0	0	0	0	0	0	0	0
ENSG00000142178:SIK1	0	0	0	0	0	0	0	0	0
ENSG00000139910:NOVA1	0	0	0	0	0	0	0	0	0
ENSG00000159224:GIP	0	0	0	0	0	0	0	0	0
ENSG00000123416:TUBA1B	0	0	0	0	0	0	0	0	0
ENSG00000156234:CXCL13	0	0	0	1	1	0	1	0	0
ENSG00000102543:CDADC1	0	0	0	0	0	0	0	0	0
ENSG00000148702:HABP2	0	0	0	0	0	0	0	0	0
ENSG00000100346:CACNA1I	0	0	0	0	0	0	0	0	0
ENSG00000168676:KCTD19	0	0	0	0	0	0	0	0	0
ENSG00000259030:FPGT-TNNI3K	0	0	0	0	0	0	0	0	0
ENSG00000244122:UGT1A7	0	0	0	0	0	2	0	0	0
ENSG00000160256:FAM207A	0	0	0	0	0	0	0	0	0
ENSG00000124143:ARHGAP40	0	0	0	3	0	0	0	2	0
ENSG00000285447:ZNF883	3	1	2	12	17	9	1	3	1
ENSG00000239264:TXNDC5	0	0	0	0	0	0	0	0	0
ENSG00000130414:NDUFA10	0	0	0	0	0	0	0	0	0
ENSG00000160862:AZGP1	0	2	1	12	6	1	0	4	1
ENSG00000106100:NOD1	0	0	0	0	0	0	0	0	0
ENSG00000248643:RBM14-RBM4	0	0	0	0	0	0	0	0	0
ENSG00000206199:ANKUB1	0	0	0	0	0	0	0	0	0
ENSG00000135473:PAN2	1	0	0	0	1	0	0	0	0
ENSG00000188021:UBQLN2	0	0	0	0	0	0	4	1	3
ENSG00000162873:KLHDC8A	0	0	0	0	0	0	0	0	0
ENSG00000184588:PDE4B	0	0	0	0	0	0	0	0	0
ENSG00000159640:ACE	0	0	0	0	0	0	0	0	0
ENSG00000159079:CFAP298	0	0	0	0	0	0	0	0	0
ENSG00000109475:RPL34	0	0	0	0	0	0	0	0	0
ENSG00000111224:PARP11	0	0	0	0	0	0	0	0	0
ENSG00000136932:TRMO	0	0	0	0	0	0	0	2	0
ENSG00000163815:CLEC3B	0	0	0	0	0	0	0	0	0
ENSG00000155066:PROM2	0	0	0	0	0	0	0	0	0
ENSG00000231274:SBK3	0	0	0	0	0	0	0	0	0
ENSG00000188386:PPP3R2	0	0	0	0	0	0	0	0	0
ENSG00000075340:ADD2	1	0	0	0	1	0	6	0	2
ENSG00000108255:CRYBA1	0	0	1	0	0	1	0	0	1
ENSG00000107669:ATE1	1	0	2	3	1	0	5	5	4
ENSG00000147378:FATE1	0	0	0	0	0	0	3	0	0
ENSG00000223638:RFPL4A	0	0	2	0	1	0	3	2	5
ENSG00000103035:PSMD7	0	0	0	1	0	0	0	0	0
ENSG00000156500:FAM122C	0	0	0	0	0	0	0	0	0
ENSG00000070214:SLC44A1	0	0	1	2	1	0	0	0	3
ENSG00000168032:ENTPD3	0	0	0	0	0	0	0	0	0
ENSG00000047457:CP	0	0	0	0	0	0	0	0	0
ENSG00000179909:ZNF154	0	0	0	0	0	1	0	0	0
ENSG00000118690:ARMC2	5	5	8	9	3	6	0	2	1
ENSG00000228075:BOD1L2	3	9	5	8	8	4	8	7	5
ENSG00000141012:GALNS	1262	1237	1055	1864	1290	1378	1158	1266	1688
ENSG00000115993:TRAK2	63	66	62	99	94	71	171	206	245
ENSG00000198125:MB	46	45	38	78	40	42	75	74	81
ENSG00000109906:ZBTB16	1064	1221	1073	1198	923	919	1811	2032	2136
ENSG00000089041:P2RX7	29	36	46	51	37	26	16	27	17
ENSG00000204315:FKBPL	1085	1069	893	1668	1206	1320	861	916	1184
ENSG00000162836:ACP6	47	46	44	117	72	77	16	11	21
ENSG00000182584:ACTL10	6277	7140	6561	10214	7035	7310	5978	6270	6771
ENSG00000286075:AC009412.1	735	816	754	1145	815	980	662	706	815
ENSG00000170871:KIAA0232	15034	16578	14798	15811	11297	12245	16916	17139	19679
ENSG00000196539:OR2T3	140	143	157	136	76	80	41	69	76
ENSG00000162104:ADCY9	3306	3552	3486	4775	3121	3468	3451	3822	4144
ENSG00000198021:SPANXA1	472	487	438	619	418	480	454	598	646
ENSG00000175938:ORAI3	2232	2213	2081	3228	2167	2179	1318	1400	1377
ENSG00000173212:MAB21L3	4363	4687	4732	5753	3775	4456	3500	4151	4537
ENSG00000143067:ZNF697	1348	1501	1372	2266	1486	1645	1281	1487	1657
ENSG00000135905:DOCK10	59	77	67	108	79	85	64	77	110
ENSG00000196998:WDR45	0	0	0	0	0	0	0	0	0
ENSG00000116209:TMEM59	343	366	339	469	380	375	148	174	174
ENSG00000151929:BAG3	464	460	390	755	536	580	470	542	762
ENSG00000145649:GZMA	5	7	6	18	5	14	21	35	33
ENSG00000243896:OR2A7	1479	1525	1030	3150	1746	1671	1112	1315	1574
ENSG00000151834:GABRA2	33431	37575	27547	65546	48169	43725	23267	25244	31799
ENSG00000144306:SCRN3	0	2	2	1	4	2	0	6	1
ENSG00000086102:NFX1	19353	21115	19333	30336	21147	21752	32036	31353	33491
ENSG00000117362:APH1A	2	1	4	9	1	1	2	1	2
ENSG00000053918:KCNQ1	8336	9071	8280	14389	10471	10963	7333	7194	7978
ENSG00000204463:BAG6	14482	15086	14567	21077	14183	14685	14610	15609	17153
ENSG00000187051:RPS19BP1	3612	4042	3545	4837	3461	3662	2868	3107	3451
ENSG00000188315:C3orf62	1	0	0	0	0	0	0	2	1
ENSG00000147162:OGT	6714	7152	6993	10652	7192	7436	6783	7676	7601
ENSG00000123595:RAB9A	433	495	440	514	337	340	545	641	613
ENSG00000039560:RAI14	429	435	442	519	304	330	118	128	130
ENSG00000180089:TMEM86B	85	77	75	97	70	51	23	19	30
ENSG00000181408:UTS2R	5145	5802	5203	8872	6185	6548	5905	5914	6468
ENSG00000123342:MMP19	142	143	138	139	89	86	110	133	141
ENSG00000198967:OR10Z1	24474	26445	24810	32803	23780	23597	38834	40890	41259
ENSG00000047249:ATP6V1H	460	399	407	692	409	435	78	67	67
ENSG00000163914:RHO	986	1125	951	1454	1119	1130	933	1034	1209
ENSG00000179583:CIITA	2128	2297	2048	4277	3150	3370	1561	1817	2109
ENSG00000139990:DCAF5	3162	3366	3227	3867	2815	3038	2306	2716	2952
ENSG00000160180:TFF3	7968	8628	8622	12792	8933	9131	7076	8230	9169
ENSG00000138386:NAB1	7737	8502	7694	11107	8360	8370	4832	5052	5838
ENSG00000160087:UBE2J2	2103	2420	2168	3388	2430	2684	1925	2072	2506
ENSG00000072657:TRHDE	9	4	9	5	5	3	3	3	2
ENSG00000074181:NOTCH3	1753	1818	1877	3015	2178	2287	1000	1286	1473
ENSG00000214338:SOGA3	56	61	41	80	51	38	4	14	13
ENSG00000147408:CSGALNACT1	5	6	7	4	5	9	1	3	1
ENSG00000183023:SLC8A1	1773	1872	1795	2139	1560	1777	1362	1722	1976
ENSG00000182670:TTC3	504	613	550	840	599	674	638	660	718
ENSG00000007908:SELE	0	1	0	0	0	0	0	1	0
ENSG00000103089:FA2H	168	150	134	266	152	199	15	33	29
ENSG00000152154:TMEM178A	206	255	191	282	264	244	262	292	349
ENSG00000197016:ZNF470	1268	1365	1310	2051	1310	1389	818	820	952
ENSG00000119915:ELOVL3	682	797	639	1144	708	813	347	517	584
ENSG00000136840:ST6GALNAC4	318	277	294	533	267	344	197	230	262
ENSG00000144134:RABL2A	0	0	0	0	0	0	0	0	0
ENSG00000049541:RFC2	286	272	272	481	236	299	160	175	177
ENSG00000145040:UCN2	258	271	275	349	206	274	361	446	527
ENSG00000100522:GNPNAT1	1530	1756	1552	2042	1698	1527	4870	5675	6220
ENSG00000115525:ST3GAL5	2086	2061	1909	2865	2083	2167	1616	1914	2207
ENSG00000184007:PTP4A2	727	847	816	875	760	688	1549	1852	1962
ENSG00000174695:TMEM167A	2711	2851	2734	3882	2495	2924	1048	1434	1494
ENSG00000148824:MTG1	2427	2535	2312	3422	2558	2680	2130	2424	2669
ENSG00000170925:TEX13B	2761	3265	3080	4403	3148	3407	2113	2512	2794
ENSG00000108379:WNT3	409	508	472	609	392	411	233	276	283
ENSG00000105499:PLA2G4C	21	22	7	17	10	13	4	1	4
ENSG00000153230:OR14K1	9870	10977	9954	14979	10542	10620	8273	8966	10594
ENSG00000121289:CEP89	2711	3173	2944	3989	2841	3040	1824	2226	2416
ENSG00000166323:C11orf65	2955	2764	2806	3993	2667	2682	3104	2738	2541
ENSG00000214929:SPATA31D1	1731	1907	1755	2495	1799	2001	2082	2426	2575
ENSG00000162374:ELAVL4	2331	2504	2258	3095	2325	2295	2285	2396	2707
ENSG00000156172:C8orf37	4235	4606	4268	6641	4744	5067	4377	4544	5083
ENSG00000166579:NDEL1	4041	4190	3850	6163	4411	4274	3832	3951	3957
ENSG00000196578:OR5AC2	1001	933	831	1635	1127	1124	1093	1131	1108
ENSG00000089327:FXYD5	2130	2208	2264	3817	2814	2770	1825	1947	1963
ENSG00000177685:CRACR2B	3685	3675	3661	5775	3754	4202	4287	4534	4687
ENSG00000168101:NUDT16L1	0	0	0	0	4	1	0	0	0
ENSG00000086061:DNAJA1	3187	3298	3123	4423	3048	3504	2010	2230	2519
ENSG00000196517:SLC6A9	5391	6003	5352	7561	5634	5854	5525	5997	6949
ENSG00000178338:ZNF354B	4994	5225	4812	6501	4356	4832	4037	4328	4952
ENSG00000123545:NDUFAF4	1188	1302	1108	1393	1111	1156	1152	1224	1283
ENSG00000188199:NUTM2B	259	239	258	389	258	335	76	93	99
ENSG00000196369:SRGAP2B	7619	8013	7790	12653	8566	8851	7054	7614	7760
ENSG00000129682:FGF13	7866	8422	7679	10529	7765	8068	15177	18416	20183
ENSG00000283361:CFAP97D2	262	309	298	383	302	298	140	158	148
ENSG00000254656:RTL1	2344	2448	2233	3980	2629	2775	2723	2898	3218
ENSG00000130054:FAM155B	4	3	12	14	8	7	6	2	3
ENSG00000123159:GIPC1	1557	1624	1457	2322	1716	1766	1041	1214	1519
ENSG00000165899:OTOGL	27	31	15	33	17	29	4	2	3
ENSG00000166848:TERF2IP	794	886	859	1050	623	810	361	439	506
ENSG00000121741:ZMYM2	6950	7511	7198	9965	6884	7326	8363	9267	10315
ENSG00000198848:CES1	152	164	145	194	129	158	201	244	304
ENSG00000214447:FAM187A	1435	1507	1380	2003	1562	1571	1562	1852	2003
ENSG00000079101:CLUL1	0	0	0	0	1	0	0	0	0
ENSG00000166257:SCN3B	20178	22858	20041	32795	23435	24547	28294	28766	32893
ENSG00000136250:AOAH	23	26	32	42	37	25	30	39	39
ENSG00000023330:ALAS1	35	45	37	50	29	26	12	16	34
ENSG00000154319:FAM167A	420	444	412	617	380	479	197	253	228
ENSG00000165805:C12orf50	2039	2011	1973	3106	2080	2086	2482	2878	3168
ENSG00000161265:U2AF1L4	1837	1977	2049	2552	1812	1838	1233	1413	1579
ENSG00000172006:ZNF554	3	2	7	6	4	7	0	0	0
ENSG00000163820:FYCO1	2809	3182	2953	4376	3080	3416	2001	2250	2695
ENSG00000075702:WDR62	2693	3004	2439	5353	3336	3603	5113	4985	5864
ENSG00000212710:CTAGE1	46	40	46	24	25	27	1	1	0
ENSG00000074370:ATP2A3	339	330	356	501	280	399	63	91	90
ENSG00000181927:OR4P4	16502	18188	16128	26949	17677	19977	16426	16540	19447
ENSG00000132661:NXT1	18221	20661	18314	35223	25843	25887	11192	12206	14386
ENSG00000128872:TMOD2	2363	2779	2437	4193	2640	2699	3250	3500	3709
ENSG00000175309:PHYKPL	1303	1369	1316	1856	1374	1480	511	581	653
ENSG00000049323:LTBP1	985	1067	1028	1505	1142	1231	1123	1237	1437
ENSG00000071054:MAP4K4	16350	18428	16538	25622	17601	18764	16558	16356	19124
ENSG00000072310:SREBF1	3926	4270	4148	6181	4315	4722	4115	4657	5460
ENSG00000136122:BORA	626	612	633	988	618	710	150	153	224
ENSG00000128311:TST	18	22	13	16	11	13	19	33	39
ENSG00000260458:KCNJ18	4	10	1	14	2	3	3	11	11
ENSG00000127083:OMD	584	591	605	792	506	573	473	590	751
ENSG00000162433:AK4	9	17	12	9	7	13	4	6	7
ENSG00000188215:DCUN1D3	5097	5297	4996	7380	4898	5202	5320	5683	5989
ENSG00000105402:NAPA	10	12	14	13	1	16	8	10	6
ENSG00000174482:LINGO2	2178	2502	2348	3264	2423	2236	3838	3714	3785
ENSG00000069424:KCNAB2	14	10	11	15	14	26	9	7	5
ENSG00000163660:CCNL1	0	0	1	0	0	0	0	1	0
ENSG00000145734:BDP1	0	1	0	2	0	0	0	1	2
ENSG00000254535:PABPC4L	1	0	0	0	0	0	0	0	1
ENSG00000131196:NFATC1	0	0	0	0	0	0	0	0	0
ENSG00000090470:PDCD7	0	0	0	0	0	0	0	1	1
ENSG00000204978:ERICH4	7489	7821	7633	9362	6973	6978	12805	14145	13317
ENSG00000139610:CELA1	0	0	0	0	0	1	0	0	0
ENSG00000240065:PSMB9	81	77	66	118	63	66	104	84	121
ENSG00000150244:TRIM48	0	0	0	0	0	0	0	0	0
ENSG00000221852:KRTAP1-5	0	2	0	0	1	1	0	0	0
ENSG00000127399:LRRC61	0	0	0	0	0	0	0	0	4
ENSG00000204532:ZSCAN5C	0	0	0	0	0	0	0	1	0
ENSG00000136487:GH2	0	0	0	0	0	0	0	0	0
ENSG00000065833:ME1	0	0	0	0	0	0	0	0	0
ENSG00000205726:ITSN1	0	0	0	0	0	0	0	0	0
ENSG00000198353:HOXC4	0	0	0	0	0	0	0	0	0
ENSG00000016391:CHDH	0	0	0	0	0	0	0	0	0
ENSG00000196734:LCE1B	0	0	0	0	0	0	0	0	0
ENSG00000169469:SPRR1B	0	0	0	0	0	0	0	0	0
ENSG00000089050:RBBP9	0	0	0	0	0	0	0	0	0
ENSG00000237388:OR4A47	1	1	2	0	1	0	24	23	20
ENSG00000205571:SMN2	0	0	0	0	0	0	0	0	0
ENSG00000163931:TKT	0	0	0	0	0	0	0	0	1
ENSG00000121210:TMEM131L	0	0	0	0	0	0	0	0	0
ENSG00000075399:VPS9D1	0	0	0	0	0	0	0	0	0
ENSG00000128285:MCHR1	0	0	0	0	0	0	0	0	0
ENSG00000146469:VIP	1	5	3	1	0	0	5	4	7
ENSG00000105939:ZC3HAV1	1	3	0	6	0	3	10	5	4
ENSG00000268606:MAGEA2	2695	3239	2958	3637	3195	2756	5166	5158	5837
ENSG00000173585:CCR9	68	54	85	105	67	69	125	107	133
ENSG00000143032:BARHL2	462	567	444	618	535	464	982	1148	1217
ENSG00000123689:G0S2	31	35	23	27	25	45	43	65	55
ENSG00000197461:PDGFA	0	0	0	1	0	1	1	0	0
ENSG00000143258:USP21	0	0	0	0	0	0	0	0	0
ENSG00000007866:TEAD3	0	0	0	0	0	0	0	0	0
ENSG00000166123:GPT2	0	0	0	0	0	0	0	0	0
ENSG00000139620:KANSL2	0	0	0	0	0	0	0	0	0
ENSG00000139613:SMARCC2	1000	1148	994	1691	1247	1334	1133	1456	1637
ENSG00000259384:GH1	1	2	3	1	2	1	5	1	2
ENSG00000255639:AC005833.1	1	13	5	16	9	8	386	464	475
ENSG00000105607:GCDH	7	1	4	5	1	2	6	5	4
ENSG00000197329:PELI1	1	0	2	2	0	0	0	0	0
ENSG00000139780:METTL21C	37	53	53	66	30	36	51	77	81
ENSG00000176635:HORMAD2	12011	13647	12284	17782	12852	13548	32760	36881	42348
ENSG00000181961:OR4A16	751	841	894	1018	684	881	1023	1150	1233
ENSG00000166801:FAM111A	1	1	3	0	0	0	7	7	3
ENSG00000138641:HERC3	1	0	2	4	2	3	3	1	5
ENSG00000105383:CD33	515	560	512	855	637	522	888	904	849
ENSG00000167483:NIBAN3	2	1	1	1	1	0	0	0	0
ENSG00000132855:ANGPTL3	2976	3250	2999	4079	2832	3187	2169	2460	2840
ENSG00000138606:SHF	6218	6246	6031	9018	6403	6715	1086	1061	1206
ENSG00000243073:PRAMEF4	46	52	53	46	35	35	35	35	41
ENSG00000181817:LSM10	58	77	89	66	42	78	47	71	67
ENSG00000072210:ALDH3A2	8152	9641	8489	12360	9052	8786	17736	19533	20827
ENSG00000117245:KIF17	3088	3265	3210	4810	3222	3532	2316	2480	2642
ENSG00000280204:OR1S1	0	1	1	0	0	0	0	0	1
ENSG00000008324:SS18L2	3499	3833	3515	5915	4062	4392	2700	2796	2920
ENSG00000005059:MCUB	15791	16073	16482	20705	15070	14925	16639	17752	17890
ENSG00000163618:CADPS	3914	4213	3719	6000	4068	4218	4321	4723	5028
ENSG00000112851:ERBIN	59	74	57	73	38	59	39	30	23
ENSG00000149021:SCGB1A1	8518	8853	8765	13330	9115	9271	5159	5605	5551
ENSG00000144810:COL8A1	0	0	0	0	0	0	0	0	0
ENSG00000213988:ZNF90	0	0	0	1	0	0	0	0	1
ENSG00000163900:TMEM41A	0	0	0	0	0	0	0	0	0
ENSG00000145949:MYLK4	1	2	0	1	1	0	2	1	0
ENSG00000185340:GAS2L1	2	0	0	5	1	2	2	5	3
ENSG00000160185:UBASH3A	0	0	0	0	0	0	0	0	0
ENSG00000259431:THTPA	2	1	2	6	0	0	5	5	10
ENSG00000131876:SNRPA1	0	0	2	1	1	1	3	1	12
